Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_dot_balls,total_boundaries_conceded,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,Dot_Ball_Percentage,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score
CH Gayle,2018,0,0,0,0,0,11,,,0.0,-0.7600661620678525,,,,,
CH Gayle,2019,0,0,0,0,0,13,,,0.0,-0.6646256128631671,,,,,
CH Gayle,2020,0,5,5,0,0,7,6.0,,0.0,-0.6688039599599783,-1.3810994802504992,,1.3810994802504992,,
CH Gayle,2021,0,0,0,0,0,10,,,0.0,-0.6553653527941746,,,,,
CH Morris,2013,17,391,300,113,51,16,7.819999999999999,17.647058823529413,37.666666666666664,1.7046429235623723,0.05309786452224133,-0.41701284176471803,-0.05309786452224133,0.41701284176471803,0.9841761748673402
CH Morris,2015,15,304,258,115,43,11,7.069767441860465,17.2,44.57364341085272,1.5891086460691513,-0.6991109208411466,-0.4496278106120148,0.6991109208411466,0.4496278106120148,1.1511872031821795
CH Morris,2016,16,294,264,102,34,12,6.681818181818182,16.5,38.63636363636363,1.9948578642123145,-0.84650395318636,-0.5138450800747063,0.84650395318636,0.5138450800747063,1.428199773283887
CH Morris,2017,14,237,186,71,31,9,7.64516129032258,13.285714285714286,38.17204301075269,1.5585533216498852,-0.5313770986609755,-0.7554818437545874,0.5313770986609755,0.7554818437545874,1.1299397330689176
CH Morris,2018,3,140,84,29,21,4,10.0,28.0,34.523809523809526,-0.2875354604762947,0.5524243113774188,0.757171279970834,-0.5524243113774188,-0.757171279970834,-0.43744748867081285
CH Morris,2019,13,292,198,66,46,9,8.848484848484848,15.23076923076923,33.33333333333333,1.378048994659019,0.024846397151189303,-0.6417262887178508,-0.024846397151189303,0.6417262887178508,0.8467319712247814
CH Morris,2020,12,196,190,89,23,9,6.189473684210527,15.833333333333334,46.8421052631579,1.1120349866790171,-1.275138971168608,-0.7650530364689941,1.275138971168608,0.7650530364689941,1.1089188894943909
CH Morris,2021,17,356,246,83,50,11,8.682926829268293,14.470588235294118,33.739837398373986,1.958773540474209,0.3616297321554937,-0.6861975328166247,-0.3616297321554937,0.6861975328166247,1.0717661575366608
CJ Anderson,2014,4,177,108,35,31,12,9.833333333333332,27.0,32.407407407407405,-0.06797801366523976,0.7152040832319915,0.12770386973221534,-0.7152040832319915,-0.12770386973221534,-0.2711047129453116
CJ Anderson,2015,1,33,24,10,4,4,8.25,24.0,41.66666666666667,-0.5744665058559842,-0.031803676766649504,-0.05851128984601651,0.031803676766649504,0.05851128984601651,-0.2976387817138941
CJ Anderson,2017,4,177,113,20,21,11,9.398230088495575,28.25,17.699115044247787,-0.06811681183988412,0.29016724422449214,0.46570365593396273,-0.29016724422449214,-0.46570365593396273,-0.1943699681693783
CJ Anderson,2018,5,110,52,14,19,3,12.692307692307693,10.4,26.923076923076923,0.027485007251410516,2.00214864165843,-1.160265481440422,-2.00214864165843,1.160265481440422,-0.4114880162931899
CJ Dala,2018,0,33,18,7,5,1,11.0,,38.88888888888889,-0.7600661620678525,1.0908933483389371,,-1.0908933483389371,,
CJ Ferguson,2011,0,0,0,0,0,4,,,0.0,-0.7023003869943175,,,,,
CJ Ferguson,2012,0,0,0,0,0,4,,,0.0,-0.7175879219576333,,,,,
CJ Green,2020,0,24,17,6,4,1,8.470588235294118,,35.294117647058826,-0.6688039599599783,0.0005424518957237571,,-0.0005424518957237571,,
CJ Jordan,2016,13,239,168,49,31,9,8.535714285714286,12.923076923076923,29.166666666666668,1.4878537743267182,0.19251077553693044,-0.6922880649760708,-0.19251077553693044,0.6922880649760708,0.8644095529650265
CJ Jordan,2017,1,8,6,2,1,1,8.0,6.0,33.33333333333333,-0.556117851886815,-0.3650882827992856,-1.3500447123380344,0.3650882827992856,1.3500447123380344,0.006168373152742546
CJ Jordan,2018,0,30,24,10,4,1,7.5,,41.66666666666667,-0.7600661620678525,-0.793748281026377,,0.793748281026377,,
CJ Jordan,2020,11,299,195,59,40,9,9.200000000000001,17.727272727272727,30.256410256410255,0.9636317411257675,0.40845578424365675,-0.6285124974535715,-0.40845578424365675,0.6285124974535715,0.5017375969641108
CJ Jordan,2021,4,94,72,23,13,4,7.833333333333334,18.0,31.944444444444443,-0.0402738484957314,-0.16431986164229614,-0.41583613539411496,0.16431986164229614,0.41583613539411496,0.0895207621291538
CJ Jordan,2022,3,128,77,22,17,4,9.974025974025974,25.666666666666668,28.57142857142857,-0.26423011049806705,0.2748034243074824,0.35555686344197596,-0.2748034243074824,-0.35555686344197596,-0.28110111758247797
CJ Jordan,2023,3,228,132,41,35,6,10.363636363636363,44.0,31.060606060606062,-0.21075673272021003,0.7141220763427434,1.4907641208583076,-0.7141220763427434,-1.4907641208583076,-0.5537674440276846
CJ McKay,2012,1,60,42,14,9,2,8.571428571428571,42.0,33.33333333333333,-0.560170734877079,0.03476200425265278,1.3650309083561794,-0.03476200425265278,-1.3650309083561794,-0.5232771417116162
CK Kapugedera,2008,0,49,17,0,8,4,17.294117647058822,,0.0,-0.7229054535541496,3.3022678618209733,,-3.3022678618209733,,
CK Langeveldt,2009,3,14,24,16,2,1,3.5,8.0,66.66666666666666,-0.20996772006446526,-1.907666566986183,-0.9828651090238361,1.907666566986183,0.9828651090238361,0.6042474904139744
