Player,Season,total_wickets,total_runs_conceded,total_balls_bowled,total_innings_bowled,Economy_Rate,Balls_Per_Wicket,z_wickets,z_economy,z_strike,z_economy_inv,z_strike_inv,Bowling_Impact_Score
DT Christian,2018,4,101,71,4,8.535211267605634,17.75,-0.1300252266124421,-0.23631906670705866,-0.35951774301015316,0.23631906670705866,0.35951774301015316,0.07162672149277245
DT Christian,2021,4,151,100,9,9.06,25.0,-0.0402738484957314,0.595060757613307,0.12038063616052931,-0.595060757613307,-0.12038063616052931,-0.24646528483660254
DT Patil,2008,0,0,0,2,,,-0.7229054535541496,,,,,
DW Steyn,2008,13,222,228,10,5.842105263157895,17.53846153846154,1.4594506326470567,-1.0100859081136184,-0.3758036062867265,1.0100859081136184,0.3758036062867265,1.1396259251063037
DW Steyn,2009,3,57,54,3,6.333333333333334,18.0,-0.20996772006446526,-0.5673827706671885,-0.2884085530778767,0.5673827706671885,0.2884085530778767,0.13686139266296482
DW Steyn,2010,17,377,354,15,6.389830508474576,20.823529411764707,2.3699494382034842,-0.90786637613347,-0.0370773349987687,0.90786637613347,0.0370773349987687,1.5082895509982719
DW Steyn,2011,14,283,273,12,6.219780219780221,19.5,1.7011276040529026,-0.6954549907779602,-0.24987635619376408,0.6954549907779602,0.24987635619376408,1.131454502227802
DW Steyn,2012,18,271,280,12,5.807142857142857,15.555555555555555,2.115921445492345,-1.024992297586256,-0.5685564789175922,1.024992297586256,0.5685564789175922,1.5019914987390008
DW Steyn,2013,20,377,413,17,5.476997578692494,20.65,2.1053481102361076,-1.1887576199361327,-0.1679507286853902,1.1887576199361327,0.1679507286853902,1.4939318313985088
DW Steyn,2014,12,425,336,14,7.5892857142857135,28.0,1.265268189833656,-0.4327899229526544,0.1909173523062031,0.4327899229526544,-0.1909173523062031,0.7554729651043266
DW Steyn,2015,3,168,114,6,8.842105263157894,38.0,-0.26538434129525057,0.3029745232033142,0.7467286058486857,-0.3029745232033142,-0.7467286058486857,-0.3507425446460881
DW Steyn,2016,0,16,12,1,8.0,,-0.7091639485108657,-0.1077299078944935,,0.1077299078944935,,
DW Steyn,2019,4,69,48,2,8.625,12.0,-0.03611034901018674,-0.07748322327477306,-0.8566876247605851,0.07748322327477306,0.8566876247605851,0.13756709735516498
DW Steyn,2020,1,128,70,3,10.971428571428572,70.0,-0.5204007144067286,1.3991024485172066,3.140006379372095,-1.3991024485172066,-3.140006379372095,-1.2208871710902007
Dhruv Jurel,2023,0,0,0,11,,,-0.677698327828237,,,,,
Dhruv Jurel,2024,0,0,0,11,,,-0.6654600843005194,,,,,
Dhruv Jurel,2025,0,0,0,13,,,-0.6918613917164442,,,,,
E Lewis,2018,0,0,0,13,,,-0.7600661620678525,,,,,
E Lewis,2019,0,0,0,3,,,-0.6646256128631671,,,,,
E Lewis,2021,0,0,0,5,,,-0.6553653527941746,,,,,
E Lewis,2022,0,0,0,5,,,-0.7124776193787166,,,,,
E Malinga,2025,14,233,160,7,8.7375,11.428571428571429,1.542523725706905,-0.4941314519142054,-0.8511829099113872,0.4941314519142054,0.8511829099113872,1.0718853075101324
EJG Morgan,2010,0,0,0,4,,,-0.7358886929133128,,,,,
EJG Morgan,2011,0,0,0,9,,,-0.7023003869943175,,,,,
EJG Morgan,2013,0,0,0,13,,,-0.643807316854346,,,,,
EJG Morgan,2015,0,0,0,9,,,-0.729007588136351,,,,,
EJG Morgan,2016,0,0,0,6,,,-0.7091639485108657,,,,,
EJG Morgan,2017,0,0,0,4,,,-0.7187848652357918,,,,,
EJG Morgan,2020,0,0,0,14,,,-0.6688039599599783,,,,,
EJG Morgan,2021,0,0,0,15,,,-0.6553653527941746,,,,,
ER Dwivedi,2016,0,0,0,2,,,-0.7091639485108657,,,,,
F Behardien,2016,0,0,0,3,,,-0.7091639485108657,,,,,
F du Plessis,2012,0,16,6,12,16.0,,-0.7175879219576333,2.8826805414941647,,-2.8826805414941647,,
F du Plessis,2014,0,0,0,12,,,-0.7346011154146876,,,,,
F du Plessis,2015,0,0,0,15,,,-0.729007588136351,,,,,
F du Plessis,2016,0,0,0,6,,,-0.7091639485108657,,,,,
F du Plessis,2017,0,0,0,1,,,-0.7187848652357918,,,,,
F du Plessis,2018,0,0,0,6,,,-0.7600661620678525,,,,,
F du Plessis,2019,0,0,0,12,,,-0.6646256128631671,,,,,
F du Plessis,2020,0,0,0,13,,,-0.6688039599599783,,,,,
F du Plessis,2021,0,0,0,16,,,-0.6553653527941746,,,,,
F du Plessis,2022,0,0,0,16,,,-0.7124776193787166,,,,,
F du Plessis,2023,0,0,0,14,,,-0.677698327828237,,,,,
F du Plessis,2024,0,0,0,15,,,-0.6654600843005194,,,,,
F du Plessis,2025,0,0,0,9,,,-0.6918613917164442,,,,,
FA Allen,2021,1,89,66,4,8.09090909090909,66.0,-0.5015924767195639,-0.004864939120740114,3.261078869552017,0.004864939120740114,-3.261078869552017,-0.7382553401003255
FA Allen,2022,1,46,24,1,11.5,24.0,-0.5630617830851667,0.7469049168223121,0.19750798664741592,-0.7469049168223121,-0.19750798664741592,-0.572573810427505
FH Edwards,2009,6,140,140,6,6.0,23.333333333333332,0.31231379466875236,-0.7250632172929528,0.08196827675996819,0.7250632172929528,-0.08196827675996819,0.39763378187291437
FY Fazal,2010,1,20,12,10,10.0,12.0,-0.5531923322593836,0.7460799148402242,-0.7769310383864027,-0.7460799148402242,0.7769310383864027,-0.42118448056580987
FY Fazal,2011,0,0,0,2,,,-0.7023003869943175,,,,,
Fazalhaq Farooqi,2022,2,106,72,3,8.833333333333334,36.0,-0.41364594679161687,-0.07810081194119134,1.3354598995682474,0.07810081194119134,-1.3354598995682474,-0.3798066741516286
Fazalhaq Farooqi,2023,4,111,80,4,8.325,20.0,-0.05510953435086767,-0.2838778735393171,-0.23245188434392725,0.2838778735393171,0.23245188434392725,0.10667027121491622
Fazalhaq Farooqi,2025,0,208,102,5,12.235294117647058,,-0.6918613917164442,0.6544166156588275,,-0.6544166156588275,,
G Coetzee,2024,13,318,201,10,9.492537313432836,15.461538461538462,1.391485363986752,-0.18907060579412036,-0.567676911863784,0.18907060579412036,0.567676911863784,0.8470689308008856
G Coetzee,2025,2,127,72,4,10.583333333333332,36.0,-0.3726635177988229,0.11197292037172449,0.9161208113444277,-0.11197292037172449,-0.9161208113444277,-0.36294040273117917
G Gambhir,2008,0,0,0,14,,,-0.7229054535541496,,,,,
G Gambhir,2009,0,0,0,15,,,-0.7322492347976829,,,,,
G Gambhir,2010,0,0,0,10,,,-0.7358886929133128,,,,,
G Gambhir,2011,0,0,0,15,,,-0.7023003869943175,,,,,
G Gambhir,2012,0,0,0,17,,,-0.7175879219576333,,,,,
G Gambhir,2013,0,0,0,15,,,-0.643807316854346,,,,,
G Gambhir,2014,0,0,0,16,,,-0.7346011154146876,,,,,
G Gambhir,2015,0,0,0,13,,,-0.729007588136351,,,,,
G Gambhir,2016,0,0,0,15,,,-0.7091639485108657,,,,,
G Gambhir,2017,0,0,0,16,,,-0.7187848652357918,,,,,
G Gambhir,2018,0,0,0,5,,,-0.7600661620678525,,,,,
